/ http://dndtools.eu/feats/

.Feat; Description
Charm Immunity; You are immune to charm effects.
Charm Resistance; You can resist charm effects better than you otherwise could.
Charming; You are particularly convincing when attempting to command targets of your mind-affecting spells
Charnel Miasma; Your close connection to death magic causes others to find your company unpleasant.
Cheetah Tribe Sprint; You have learned the secret of lightning-fast running from the cheetah that roams the plains where you live.
Cheetah's Speed; You can run with the speed of the cheetah.
Child of Winter;  You are trained in the druidic traditions of the Children of Winter, an Eldeen Reaches sect that embraces death and decay.
Child of the Swamps; You have spent years in the swamps of the Shadow Marches. You can find food and shelter in the deep swamps, and you can move more freely through the difficult terrain.
Chink in the Armor; You are an expert at slipping a weapon between armor plates or into seams.
Choke Hold; You have learned the correct way to apply pressure to render an opponent unconscious.
Chondathan Missionary; Your training has emphasized spells that help you spread the word of your faith.
Chord of Distraction ; You can channel the power of your bardic music to make a sudden sound or gesture that momentarily distracts an opponent.
Chosen Foe; At the expense of attention to other distractions, you focus on a single opponent to give you a decided advantage while fighting against him.
Chosen Weapon Specialization; You deal more damage than normal when wielding your deity's chosen weapon.
Chosen of Evil; Your naked devotion to wickedness causes dark powers to take an interest in your well-being.
Chosen of Iborighu; Your skin has a noticeable blue tint and your left eye is pale blue (your right eye is some other color); these features identify you as an ally to the church of Iborighu and grant you supernatural qualities.
Chosen of the Deathless; You were raised in Shae Mordai to serve as a squire to the Undying Court. Though your service has ended, you carry with you an intimate familiarity with the positive energy that suffuses the City of the Dead.
Circle Kick; You kick multiple opponents with the same attack action.
Circle Magic; You know how to use your connection to Galaedros the Wood God to channel magical power to another spellcaster of your faith
Circle Master; You have mastered the techniques of the master's wheel and can focus on multiple
Circle Student; You have been trained in a master's wheel, a form of fencing instruction that grants you focus and control.
City Magic ; You can use the city itself to enhance your spellcasting.
City Slicker; You are very familiar with city life and the inner workings of your hometown.
Clan Prestige; Your actions have brought you some measure of fame and respect from your clan, whether from battle prowess or years of service to the clan.
Clap of Thunder; You can deliver a thunderous roar with a touch. 
Clarion Commander; On the battlefield, you are a natural leader. You issue orders and coordinate your allies, but you also learn to take advantage of their actions and maximize the fruits of teamwork. When you attack a foe with your allies, the combined result of your efforts can be devastating.
Clarity of Vision; You can briefly see invisible opponents.
Claws of the Beast ; Your hands are twisted like claws. This deformity allows you to deal more damage than usual with your unarmed strikes and sneak attacks.
Cleave; You can follow through with powerful blows.
Clever Improviser; Tools? Why would you need tools? It's just a combination lock with a poison needle trap, after all.
Clever Opportunist; When an unwary opponent gives you an opportunity, you use it to change positions with your foe. 
Clever Wrestling; Clever Wrestling [General] You have a better than normal chance to escape or wriggle free from a big creature's grapple or pin.
Clever Wrestling; You have a better than normal chance to escape or wriggle free from a big creature's grapple or pin.
Cliffwalk Elite; Your cliffwalk shifter trait improves.
Cliffwalk Elite; Your shifter trait improves.
Cliffwalk; Shifter trait Pseudo feat.
Climb like an Ape; You can improve your climbing ability.
Clinging Breath; This feat enables a creature's breath weapon to cling to creatures and continue to affect them after it has breathed.
Clinging Breath; Your breath weapon clings to creatures and continues to affect them in the round after you breathe.
Cloak Dance; You are skilled at using optical tricks to make yourself seem to be where you are not.
Cloak of the Obyrith ; The chaos of the Abyss suffuses your being, as it does the ancient obyriths.
Close-Quarters Fighting; You are skilled at fighting at close range and resisting grapple attacks.
Close-Quarters Fighting; You are skilled at fighting at close range and resisting grapple attempts.
