/ http://dndtools.eu/spells/

.Spell; School; Verbal; Somatic; Material; Arcane; Divine; XP; Rulebook; Edition
 
Abate Dracorage; Abjuration; yes; yes; no; no; no; no; Dragons of Faerûn; Forgotten Realms (3.5); 
Avalanche of Blades; Diamond Mind; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Avascular Mass; Necromancy; yes; yes; no; no; no; no; Libris Mortis: The Book of Undead; Supplementals (3.5); 
Avascular Mass; Necromancy; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Avasculate; Necromancy; yes; yes; no; no; no; no; Libris Mortis: The Book of Undead; Supplementals (3.5); 
Avasculate; Necromancy; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Avoid Planar Effects; Abjuration; yes; no; no; no; no; no; Planar Handbook; Supplementals (3.5); 
Avoid Planar Effects; Abjuration; yes; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Avoid Planar Effects; Abjuration; yes; no; no; no; no; no; Manual of the Planes; Supplementals (3.0); 
Awaken; Transmutation; yes; yes; no; no; yes; yes; Player's Handbook v.3.5; Core (3.5); 
Awaken Construct; Transmutation; yes; yes; yes; no; no; yes; Spell Compendium; Supplementals (3.5); 
Awaken Construct; Transmutation; yes; yes; yes; no; no; yes; Savage Species; Supplementals (3.0); 
Awaken Sand; Transmutation; yes; yes; no; no; yes; yes; Sandstorm; Supplementals (3.5); 
Awaken Sin; Enchantment; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Awaken Undead; Necromancy; yes; yes; yes; no; no; yes; Libris Mortis: The Book of Undead; Supplementals (3.5); 
Awaken Undead; Necromancy; yes; yes; yes; no; no; yes; Spell Compendium; Supplementals (3.5); 
Awaken Undead; Necromancy; yes; yes; yes; no; no; yes; Savage Species; Supplementals (3.0); 
Awaken, Mass; Transmutation; yes; yes; no; yes; no; yes; Complete Divine; Supplementals (3.5); 
Awaken, Mass; Transmutation; yes; yes; no; no; yes; yes; Spell Compendium; Supplementals (3.5); 
Awaken, Mass; Transmutation; yes; yes; no; yes; no; yes; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers; Supplementals (3.0); 
Axiomatic Creature; Transmutation; yes; yes; yes; no; no; yes; Book of Exalted Deeds; Supplementals (3.5); 
Axiomatic Storm; Conjuration; yes; yes; yes; no; yes; no; Planar Handbook; Supplementals (3.5); 
Axiomatic Storm; Conjuration; yes; yes; yes; no; yes; no; Spell Compendium; Supplementals (3.5); 
Axiomatic Water; Transmutation; yes; yes; yes; no; no; no; Planar Handbook; Supplementals (3.5); 
Axiomatic Water; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Ayailla's Radiant Burst; Evocation; yes; yes; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Azuth's Exalted Triad; Transmutation; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Azuth's Spell Shield; Abjuration; yes; yes; no; no; yes; no; Magic of Faerûn; Forgotten Realms (3.0); 
Babau Slime; Transmutation; yes; yes; yes; no; yes; no; Planar Handbook; Supplementals (3.5); 
Babau Slime; Transmutation; yes; yes; yes; no; yes; no; Spell Compendium; Supplementals (3.5); 
Backbiter; Necromancy; yes; yes; no; yes; no; no; Complete Arcane; Supplementals (3.5); 
Backbiter; Necromancy; yes; yes; no; yes; no; no; Spell Compendium; Supplementals (3.5); 
Backbiter; Abjuration; yes; yes; no; yes; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Backblast; Abjuration; yes; yes; no; no; no; no; Lost Empires of Faerûn; Forgotten Realms (3.5); 
Backlash; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Backlash; Transmutation; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Baffling Defense; Setting Sun; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Balagarn's Iron Horn; Transmutation; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Balance on the Sky; Shadow Hand; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Balancing Lorecall; Divination; yes; yes; yes; no; yes; no; Complete Adventurer; Supplementals (3.5); 
Balancing Lorecall; Divination; yes; yes; yes; no; yes; no; Spell Compendium; Supplementals (3.5); 
Baleful Blink; Transmutation; yes; no; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Baleful Polymorph; Transmutation; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Baleful Transposition; Conjuration; yes; no; no; no; no; no; Miniatures Handbook; Supplementals (3.5); 
Baleful Transposition; Conjuration; yes; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Baleful Utterance; Least Invocation; no; no; no; no; no; no; Complete Arcane; Supplementals (3.5); 
Ball Lightning; Evocation; yes; yes; yes; no; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Ball Lightning; Evocation; yes; yes; yes; no; no; no; Unapproachable East; Forgotten Realms (3.5); 
Ball Lightning; Evocation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Ball Lightning; Evocation; yes; yes; yes; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Ballista Throw; Setting Sun; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Balor Nimbus; Transmutation; yes; yes; yes; no; yes; no; Planar Handbook; Supplementals (3.5); 
Balor Nimbus; Transmutation; yes; yes; yes; no; yes; no; Spell Compendium; Supplementals (3.5); 
Bands of Steel; Conjuration; yes; yes; yes; no; no; no; Complete Arcane; Supplementals (3.5); 
Bands of Steel; Conjuration; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Bane; Enchantment; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Bane Bow; Evocation; yes; yes; no; no; no; no; Complete Divine; Supplementals (3.5); 
Bane of the Archrival; Abjuration; yes; yes; no; no; no; no; Tome of Magic; Supplementals (3.5); 
Banish Dragonmark; Abjuration; yes; yes; yes; no; no; no; Dragonmarked; Eberron (3.5); 
Banishment; Abjuration; yes; yes; no; yes; no; no; Player's Handbook v.3.5; Core (3.5); 
Barghest's Feast; Necromancy; yes; yes; yes; no; no; no; Planar Handbook; Supplementals (3.5); 
Barghest's Feast; Necromancy; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Barkskin; Transmutation; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Bastion of Good; Abjuration; yes; yes; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Battering Ram; Evocation; yes; yes; no; yes; no; no; Spell Compendium; Supplementals (3.5); 
Battering Ram; Evocation; yes; yes; no; yes; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Battle Hymn; Enchantment; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Battle Leader's Charge; White Raven; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Battle Line; Abjuration; yes; yes; no; no; yes; no; Champions of Ruin; Forgotten Realms (3.5); 
Battlecry; Evocation; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Battlefield Fortification; Transmutation; yes; yes; no; no; no; no; Heroes of Battle; Supplementals (3.5); 
Battlefield Illumination; Evocation; yes; yes; no; no; no; no; Heroes of Battle; Supplementals (3.5); 
Battlemagic Perception; Divination; yes; yes; no; no; no; no; Heroes of Battle; Supplementals (3.5); 
Battletide; Transmutation; yes; yes; no; no; yes; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Battletide; Transmutation; yes; yes; no; no; yes; no; Magic of Faerûn; Forgotten Realms (3.0); 
Battletide; Transmutation; yes; yes; no; no; yes; no; Lords of Darkness; Forgotten Realms (3.0); 
Bear's Endurance; Transmutation; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Bear's Endurance, Mass; Transmutation; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Bear's Heart; Transmutation; yes; yes; no; no; no; no; Defenders of the Faith: A Guidebook to Clerics and Paladins; Supplementals (3.0); 
Beast Claws; Transmutation; yes; yes; yes; no; no; no; Complete Divine; Supplementals (3.5); 
Beast Claws; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Beast Claws; Transmutation; yes; yes; yes; no; no; no; Defenders of the Faith: A Guidebook to Clerics and Paladins; Supplementals (3.0); 
Beastland Ferocity; Enchantment; yes; yes; no; no; yes; no; Planar Handbook; Supplementals (3.5); 
Beastland Ferocity; Enchantment; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Beastmask; Illusion; yes; yes; no; no; no; no; Defenders of the Faith: A Guidebook to Clerics and Paladins; Supplementals (3.0); 
Bebilith Blessing; Transmutation; yes; yes; no; no; yes; no; Drow of the Underdark; Supplementals (3.5); 
Beckon Monster; Enchantment; yes; yes; no; no; no; no; Tome of Magic; Supplementals (3.5); 
Beckon Person; Enchantment; yes; yes; no; no; no; no; Tome of Magic; Supplementals (3.5); 
Beckoning Call; Enchantment; yes; yes; no; no; no; no; Fiendish Codex I: Hordes of the Abyss; Supplementals (3.5); 
Bedevil; Conjuration; yes; yes; yes; no; no; no; Champions of Ruin; Forgotten Realms (3.5); 
Befoul; Transmutation; yes; yes; yes; no; no; no; Fiendish Codex I: Hordes of the Abyss; Supplementals (3.5); 
Befoul; Transmutation; yes; yes; yes; no; no; no; Lords of Madness; Supplementals (3.5); 
Befoul; Transmutation; yes; yes; yes; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Beget Bogun; Conjuration; yes; yes; yes; no; no; yes; Monster Manual II; Supplementals (3.5); 
Beget Bogun; Conjuration; yes; yes; yes; no; no; yes; Complete Divine; Supplementals (3.5); 
Beget Bogun; Conjuration; yes; yes; yes; no; no; yes; Spell Compendium; Supplementals (3.5); 
Beget Bogun; Conjuration; yes; yes; yes; no; no; yes; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers; Supplementals (3.0); 
Belker Claws; Transmutation; yes; yes; no; no; no; no; Planar Handbook; Supplementals (3.5); 
Belker Claws; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Beltyn's Burning Blood; Necromancy; yes; yes; yes; no; no; no; Unapproachable East; Forgotten Realms (3.5); 
Benediction; Abjuration; yes; yes; no; no; yes; no; Complete Champion; Supplementals (3.5); 
Benign Projection; Illusion; yes; yes; no; no; yes; no; Champions of Valor; Forgotten Realms (3.5); 
Benign Transposition; Conjuration; yes; no; no; no; no; no; Miniatures Handbook; Supplementals (3.5); 
Benign Transposition; Conjuration; yes; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Bestow Curse; Necromancy; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Bestow Curse, Greater; Transmutation; yes; yes; no; no; no; no; Complete Divine; Supplementals (3.5); 
Bestow Curse, Greater; Transmutation; yes; yes; no; no; no; no; Races of Destiny; Supplementals (3.5); 
Bestow Curse, Greater; Necromancy; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Bestow Curse, Greater; Transmutation; yes; yes; no; no; no; no; Dragonlance Campaign Setting; Dragonlance (3.5); 
Bestow Greater Curse; Transmutation; yes; yes; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Bestow Wound; Transmutation; yes; yes; yes; no; no; no; Heroes of Horror; Supplementals (3.5); 
Bestow Wound; Transmutation; yes; yes; yes; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Bewildering Mischance; Enchantment; yes; yes; no; no; yes; no; Complete Champion; Supplementals (3.5); 
Bewildering Substitution; Illusion; yes; yes; no; no; yes; no; Complete Champion; Supplementals (3.5); 
Bewildering Visions; Illusion; yes; yes; no; no; yes; no; Complete Champion; Supplementals (3.5); 
Big Sky; Enchantment; yes; yes; no; no; yes; no; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers; Supplementals (3.0); 
Bigby's Clenched Fist; Evocation; yes; yes; no; yes; yes; no; Player's Handbook v.3.5; Core (3.5); 
Bigby's Crushing Hand; Evocation; yes; yes; yes; yes; yes; no; Player's Handbook v.3.5; Core (3.5); 
Bigby's Disrupting Hand; Evocation; yes; yes; no; yes; no; no; Player's Handbook II; Supplementals (3.5); 
Bigby's Forceful Hand; Evocation; yes; yes; no; yes; no; no; Player's Handbook v.3.5; Core (3.5); 
Bigby's Grasping Hand; Evocation; yes; yes; no; yes; yes; no; Player's Handbook v.3.5; Core (3.5); 
Bigby's Helpful Hand; Evocation; yes; yes; no; yes; no; no; Player's Handbook II; Supplementals (3.5); 
Bigby's Interposing Hand; Evocation; yes; yes; no; yes; no; no; Player's Handbook v.3.5; Core (3.5); 
Bigby's Slapping Hand; Evocation; yes; yes; no; yes; no; no; Complete Mage; Supplementals (3.5); 
Bigby's Slapping Hand; Evocation; yes; yes; no; yes; no; no; Miniatures Handbook; Supplementals (3.5); 
Bigby's Striking Fist; Evocation; yes; yes; yes; no; no; no; Player's Handbook II; Supplementals (3.5); 
Bigby's Tripping Hand; Evocation; yes; yes; yes; no; no; no; Player's Handbook II; Supplementals (3.5); 
Bigby's Warding Hand; Evocation; yes; yes; no; yes; no; no; Player's Handbook II; Supplementals (3.5); 
Billim's Bifrost Bridge; Conjuration; yes; yes; yes; no; no; no; Dragonlance Campaign Setting; Dragonlance (3.5); 
Bind to Hell; Conjuration; yes; yes; no; no; no; no; Fiendish Codex II: Tyrants of the Nine Hells; Supplementals (3.5); 
Binding; Enchantment; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Binding Chain of Fate; Evocation; yes; yes; yes; no; no; no; City of Splendors: Waterdeep; Forgotten Realms (3.5); 
Binding Snow; Transmutation; yes; yes; no; no; yes; no; Frostburn; Supplementals (3.5); 
Binding Winds; Evocation; yes; yes; no; no; no; no; Complete Divine; Supplementals (3.5); 
Binding Winds; Evocation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Binding Winds; Evocation; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Bite of the King; Necromancy; yes; no; no; no; no; no; Libris Mortis: The Book of Undead; Supplementals (3.5); 
Bite of the King; Necromancy; yes; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Bite of the Werebear; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Bite of the Wereboar; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Bite of the Wererat; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Bite of the Weretiger; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Bite of the Werewolf; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Black Bag; Conjuration; yes; yes; yes; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Black Blade of Disaster; Conjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Black Blade of Disaster; Conjuration; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Black Karma Curse; Enchantment; yes; yes; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Black Lungs; Necromancy; yes; yes; no; no; no; no; Ghostwalk; Supplementals (3.0); 
Black Sand; Necromancy; yes; yes; no; no; no; no; Sandstorm; Supplementals (3.5); 
Black Talon; Necromancy; yes; yes; no; no; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Blackfire; Necromancy; yes; yes; yes; no; no; no; Complete Arcane; Supplementals (3.5); 
Blackfire; Necromancy; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Blacklight; Evocation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Blacklight; Evocation; yes; yes; yes; no; no; no; Forgotten Realms Campaign Setting; Forgotten Realms (3.0); 
Blacklight; Evocation; yes; yes; yes; no; no; no; Deities and Demigods; Supplementals (3.0); 
Blackrot; Necromancy; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Blackstaff; Transmutation; yes; yes; no; yes; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Blackwater Taint; Necromancy; yes; yes; yes; no; no; no; Stormwrack; Supplementals (3.5); 
Blackwater Tentacle; Conjuration; yes; yes; yes; no; no; no; Stormwrack; Supplementals (3.5); 
Blade Barrier; Evocation; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Blade Brothers; Abjuration; yes; yes; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Blade of Blood; Necromancy; yes; yes; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Blade of Pain and Fear; Evocation; yes; yes; no; no; yes; no; Libris Mortis: The Book of Undead; Supplementals (3.5); 
Blade of Pain and Fear; Evocation; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Blade Storm; Transmutation; yes; no; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Blade Storm; Transmutation; yes; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Blade Thirst; Transmutation; yes; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Blade Thirst; Transmutation; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Bladebane; Transmutation; yes; yes; yes; no; no; no; Unapproachable East; Forgotten Realms (3.5); 
Blades of Fire; Conjuration; yes; no; no; no; no; no; Complete Arcane; Supplementals (3.5); 
Blades of Fire; Conjuration; yes; no; no; no; no; no; Miniatures Handbook; Supplementals (3.5); 
Blades of Fire; Conjuration; yes; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Bladeweave; Illusion; yes; no; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Bladeweave; Illusion; yes; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Blasphemy; Evocation; yes; no; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Blast of Flame; Conjuration; yes; yes; yes; no; no; no; Complete Arcane; Supplementals (3.5); 
Blast of Flame; Conjuration; yes; yes; yes; no; no; no; Miniatures Handbook; Supplementals (3.5); 
Blast of Flame; Conjuration; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
